Length,Height,Angle,outcome
8,4.2,140.0,0
5.9,4.2,146.0,1
7.8,4.9,45.2,2
9,4.9,150.0,0
6.3,4.4,145.0,1
7.6,4.7,48.1,2
7,5,139.0,0
6.2,4.3,148.0,1
8.2,5.1,42.6,2
8.5,5.6,135.0,0
5.4,3.8,144.0,1
7.9,4.8,47.5,2
9.5,5.5,140.0,0
6.9,5.4,149.0,1
8,5,44.8,2
11,5.9,130.0,0
6.1,4.3,155.0,1
8.1,5.2,41.3,2
7.3,5.8,145.0,0
6.4,4.4,153.0,1
7.7,4.9,46.7,2
8.9,5.9,130.0,0
6.7,4.5,154.0,1
7.5,4.6,50.2,2
8.5,4.8,120.0,0
6.3,4.9,161.0,1
8.3,5.3,39.8,2
8.8,5.8,144.0,0
6.2,4.8,160.0,1
7.4,4.7,49.6,2
10.2,6.4,150.0,0
5.3,4.1,156.0,1
7.9,5,44.0,2
9.7,5.3,153.0,0
7.3,5.1,150.0,1
8.1,5.1,42.1,2
8.3,6.4,130.0,0
10.5,5.3,130.0,0
5.5,4,153.0,1
7.2,5,152.0,1
7.8,4.9,45.8,2
6.5,4.6,151.0,1
7.6,4.8,47.2,2
9,4.9,135.0,0
6,4.1,145.0,1
8.2,5.2,41.9,2
6.3,4.4,150.0,1
7.9,4.9,46.3,2
9.8,5.7,140.0,0
6.1,4.2,151.0,1
8,5,44.5,2
8.1,5.1,42.9,2
9.3,5.3,143.0,0
6.8,4.6,149.0,1
7.7,4.8,48.0,2
8.1,5.2,145.0,0
6.2,4.3,151.0,1
7.5,4.6,50.5,2
8.9,5.5,130.0,0
8.8,5.8,144.0,0
6.5,4.5,152.0,1
7.8,4.9,130.0,0
6.4,4.4,152.0,1
8.3,5.3,39.5,2
8.8,4.7,136.0,0
5.9,4.3,145.0,1
7.4,4.7,49.9,2
7.8,4.7,135.0,0
7,5.4,149.0,1
7.9,5,44.3,2
8.1,5.1,42.3,2
9.7,5.1,120.0,0
5.3,4.2,153.0,1
7.1,4.9,152.0,1
7.8,4.9,45.5,2
9.3,4.6,130.0,0
5.9,4.3,145.0,1
7.6,4.7,47.8,2
9.3,5.5,135.0,0
7,5.4,149.0,1
8.2,5.2,41.6,2
8.6,5.3,120.0,0
6,4.5,151.0,1
7.9,4.9,46.0,2
8.5,4,140.0,0
6.3,4.9,160.0,1
8,5,44.6,2
8,4.9,130.0,0
7.1,4.9,152.0,1
8.1,5.1,42.7,2
7.7,5.1,135.0,0
6.4,4.7,151.0,1
7.1,5.2,150.0,1
7.7,4.8,47.6,2
7.5,4.6,50.0,2
8.5,4.6,125.0,0
8,4.2,140.0,0
6.4,4.7,151.0,1
8.3,5.3,39.2,2
9,4.9,150.0,0
7,5,139.0,0
7.1,4.9,152.0,1
7.4,4.7,50.2,2
8.5,5.6,135.0,0
6.1,4.3,145.0,1
5.3,4.2,153.0,1
7.9,5,44.6,2
5.9,4.3,145.0,1
8.1,5.1,42.5,2
9.5,5.5,140.0,0
11,5.9,130.0,0
6,4.3,146.0,1
7.8,4.9,45.3,2
7.3,5.8,145.0,0
6,4.5,151.0,1
7.6,4.8,47.4,2
8.9,5.9,130.0,0
6.5,4.6,154.0,1
8.2,5.2,41.3,2
8.5,4.8,120.0,0
8.8,5.8,144.0,0
6.3,4.9,155.0,1
7.9,4.9,46.5,2
8,5,44.7,2
10.2,6.4,150.0,0
9.7,5.3,153.0,0
5.3,4.2,153.0,1
8.1,5.1,42.8,2
8.3,6.4,130.0,0
6.5,4.5,152.0,1
7.7,4.8,47.9,2
10.5,5.3,130.0,0
6.9,4.5,145.0,1
7.5,4.6,49.7,2
9,4.9,135.0,0
6.5,4.5,152.0,1
6.5,4.9,159.0,1
8.3,5.3,39.9,2
9.8,5.7,140.0,0
6,4.5,150.0,1
7.4,4.7,50.1,2
9.3,5.3,143.0,0
6.4,4.7,153.0,1
7.9,5,44.1,2
8.1,5.2,145.0,0
6.3,4.9,159.0,1
8.1,5.1,42.2,2
8.9,5.5,130.0,0
6,4.3,146.0,1
7.8,4.9,45.6,2
7.8,4.9,130.0,0
6.1,4.4,145.0,1
7.6,4.7,47.7,2
5.5,4,144.0,1
6.3,4.4,148.0,1
8.2,5.2,41.7,2
8.8,4.7,136.0,0
7.8,4.7,135.0,0
7,5.5,149.0,1
7.9,4.9,46.1,2
9.7,5.1,120.0,0
6.3,4.9,155.0,1
8,5,44.4,2
8.1,5.1,42.4,2
9.3,4.6,130.0,0
6.5,4.5,153.0,1
7.7,4.8,47.5,2
9.3,5.5,135.0,0
6.5,4.6,154.0,1
7.5,4.6,49.8,2
8.6,5.3,120.0,0
6.3,5.1,161.0,1
8.3,5.3,39.6,2
8.5,4,140.0,0
6.3,4.9,160.0,1
7.4,4.7,50.0,2
7.9,5,44.2,2
7.1,5.2,150.0,1
5.4,4.4,156.0,1
8.1,5.1,42.0,2
8,4.9,130.0,0
7.7,5.1,135.0,0
6.4,4.7,151.0,1
7.8,4.9,45.4,2
8.5,4.6,125.0,0
7.1,4.9,152.0,1
7.6,4.8,47.3,2
8,4.2,140.0,0
5.3,4.2,153.0,1
8.2,5.2,41.4,2
9,4.9,150.0,0
7.9,4.9,46.4,2
7,5,139.0,0
8.5,5.6,135.0,0
6,4.5,151.0,1
6.3,4.5,150.0,1
7.5,4.6,49.9,2
5.9,4.3,145.0,1
9.5,5.5,140.0,0
7,5.4,149.0,1
8,5,44.9,2
11,5.9,130.0,0
7.3,5.8,145.0,0
8.1,5.1,42.2,2
8.9,5.9,130.0,0
8.5,4.8,120.0,0
8.3,5.3,39.3,2
7.4,4.7,50.1,2
6.3,4.4,151.0,1
7.7,4.8,47.8,2
